time,A_true,A_observed_blended,flux_unblended,flux_blended,mag_unblended,mag_blended,mag_observed,mag_sigma,mag_baseline_blended
-20.250626566416045,1.3294274964401256,1.0847497720720167,21.660309456320583,68.69907261069447,24.16083835747938,22.9076228139296,22.9076228139296,0.0,22.995946732797492
-19.849624060150376,1.343430889812734,1.0883523383707865,21.888466188975425,68.92722934334931,24.149461675226213,22.904022946049402,22.904022946049402,0.0,22.995946732797492
-19.448621553884713,1.358178057465997,1.0921462508730146,22.128741206476768,69.16750436085066,24.13760822553317,22.900244734645433,22.900244734645433,0.0,22.995946732797492
-19.04761904761905,1.3737185529404947,1.096144257911232,22.381941882695315,69.42070503706921,24.125255590726383,22.896277449862545,22.896277449862545,0.0,22.995946732797492
-18.64661654135339,1.3901061014681337,1.100360181043164,22.648943560703046,69.68770671507693,24.112380126120946,22.892109567548545,22.892109567548545,0.0,22.995946732797492
-18.245614035087726,1.4073990399357015,1.104809028238432,22.930696721081958,69.96945987545584,24.09895687391169,22.887728696454978,22.887728696454978,0.0,22.995946732797492
-17.844611528822057,1.4256608135230089,1.1095071216455694,23.228235073629605,70.2669982280035,24.084959468708934,22.88312149728899,22.88312149728899,0.0,22.995946732797492
-17.443609022556394,1.4449605376771721,1.1144722421676672,23.5426847135838,70.58144786795769,24.070360033657977,22.878273592532395,22.878273592532395,0.0,22.995946732797492
-17.042606516290732,1.4653736356184242,1.1197237934695459,23.875274508479478,70.91403766285336,24.055129065922582,22.873169465777618,22.873169465777618,0.0,22.995946732797492
-16.641604010025063,1.4869825634159872,1.1252829885135365,24.227347911781155,71.26611106615505,24.039235310128568,22.86779234913469,22.86779234913469,0.0,22.995946732797492
-16.2406015037594,1.5098776368950246,1.1311730622927092,24.600376435645064,71.63913959001896,24.022645618148808,22.86212409703347,22.86212409703347,0.0,22.995946732797492
-15.839598997493738,1.5341579773252414,1.1374195151223256,24.995975058986005,72.0347382133599,24.005324793359925,22.85614504447443,22.85614504447443,0.0,22.995946732797492
-15.438596491228068,1.559932596108354,1.144050391690666,25.41591990024727,72.45468305462116,23.987235417207803,22.84983384746091,22.84983384746091,0.0,22.995946732797492
-15.037593984962413,1.5873216426644936,1.1510966020950382,25.862168549164302,72.90093170353819,23.968337655575443,22.843167302966393,22.843167302966393,0.0,22.995946732797492
-14.636591478696744,1.6164578445924485,1.1585922923428835,26.336883531238367,73.37564668561225,23.948589042044308,22.8361201453402,22.8361201453402,0.0,22.995946732797492
